,concept,contrast
0,trm_4a3fd79d0b64e,cnt_4e03bc67764f5
1,trm_558c7b14c076e,cnt_553e85f11747b
2,trm_4a3fd79d0af71,cnt_553e85f11747b
3,trm_558c7b707f606,cnt_553e85f11747b
4,trm_4a3fd79d0b5a7,cnt_4b4a5473705db
5,trm_4a3fd79d0a723,cnt_4dfa42dddd062
6,trm_4a3fd79d0b4cd,cnt_4dfa42dddd062
7,trm_4a3fd79d0a6ad,cnt_4b8436c051c94
8,trm_4a3fd79d0b64e,cnt_4de6c5f53e708
9,trm_4a3fd79d0addc,cnt_4df2918824fb9
10,trm_4a3fd79d0a9dc,cnt_52728153ba9d7
11,trm_4a3fd79d0a972,cnt_4df118fd720dd
12,trm_4a3fd79d0b0f7,cnt_4de93ddadf379
13,trm_4a3fd79d0a4f9,cnt_4de93ddadf379
14,trm_4a3fd79d0b95b,cnt_4de93ddadf379
15,trm_4a3fd79d0b967,cnt_4de93ddadf379
16,trm_4a3fd79d0b49e,cnt_4de93ddadf379
17,trm_4a3fd79d0ac9e,cnt_4e08f5aa73703
18,trm_5022ef7599294,cnt_502422c805b89
19,trm_4a3fd79d0b154,cnt_52717eff2a75d
20,trm_4a3fd79d0b1a6,cnt_4df133b48842d
21,trm_557b4b56de455,cnt_55399f4618e42
22,trm_4a3fd79d0af71,cnt_55399f4618e42
23,trm_557b4a7315f1b,cnt_55399f4618e42
24,trm_4a3fd79d0a33b,cnt_55399f4618e42
25,trm_4a3fd79d0b457,cnt_5020196a49a19
26,trm_4f4511e519b53,cnt_52717f1a9b5ee
27,trm_4a3fd79d0b39d,cnt_4df2a4de25215
28,trm_4a3fd79d0b160,cnt_4df2a4de25215
29,trm_502abeab4e1d8,cnt_502ac6291faaa
30,trm_4a3fd79d0b64e,cnt_4df8ef7a8d7c3
31,trm_557b4a7315f1b,cnt_4e0182336c9cc
32,trm_4b75ed06c917d,cnt_524b5772e43a8
33,trm_4a3fd79d0b4b5,cnt_55a3028a5477b
34,trm_4a3fd79d0a914,cnt_5262cd27045a1
35,trm_4a3fd79d09707,cnt_4de968d88e3d3
36,trm_4a3fd79d09a3d,cnt_4de968d88e3d3
37,trm_4a3fd79d09a49,cnt_4de968d88e3d3
38,trm_4a3fd79d0a15c,cnt_4de968d88e3d3
39,trm_4a3fd79d0b8e5,cnt_4de968d88e3d3
40,trm_4a3fd79d0b756,cnt_4de968d88e3d3
41,trm_4a3fd79d0a7d4,cnt_4de968d88e3d3
42,trm_4a3fd79d0ac87,cnt_4de968d88e3d3
43,trm_4a3fd79d098a6,cnt_4de968d88e3d3
44,trm_4a3fd79d0b8d9,cnt_4de968d88e3d3
45,trm_4a3fd79d0a4f9,cnt_50b6603a36ae2
46,trm_5022ef7599294,cnt_523df7d6697ef
47,trm_4a3fd79d0abaa,cnt_50eb3dca702f2
48,trm_4a3fd79d09be2,cnt_502ade521b4bd
49,trm_4a3fd79d0b938,cnt_5262cbd26aa57
50,trm_4a3fd79d0ae3d,cnt_5005cae1dffba
51,trm_523c7c13bc55f,cnt_5298e7d15982e
52,trm_4a3fd79d09883,cnt_52b4cfac3a8ce
53,trm_4a3fd79d0b5a7,cnt_4b4a5481dc0f2
54,trm_4a3fd79d0a972,cnt_5262d6ff7da05
55,trm_4a3fd79d0a3d2,cnt_4ded3b16cdb74
56,trm_4a3fd79d0b46f,cnt_4ded3b16cdb74
57,trm_4a3fd79d09764,cnt_50eb12958b083
58,trm_4aae62e4ad209,cnt_50eb12958b083
59,trm_4a3fd79d0acc1,cnt_50184d223ef01
60,trm_4a3fd79d0b5a7,cnt_4b4a5490f1bb4
61,trm_4a3fd79d09ab2,cnt_55a3034ca0943
62,trm_4a3fd79d0b5a7,cnt_4b4a5f85437c2
63,trm_558c7b14c076e,cnt_553e865d69738
64,trm_4b82c75498408,cnt_4ded60eb3a50f
65,trm_4a3fd79d0aaa4,cnt_4ded60eb3a50f
66,trm_4a3fd79d0b4a9,cnt_4ded60eb3a50f
67,trm_4a3fd79d0b9ad,cnt_4ded60eb3a50f
68,trm_4a3fd79d0a972,cnt_4ded2aa1ea79d
69,trm_4a3fd79d0a9a1,cnt_4ded2aa1ea79d
70,trm_4a3fd79d0b87a,cnt_4e025694022e0
71,trm_4a3fd79d0b908,cnt_579614f464f73
72,trm_4a3fd79d0aac8,cnt_50f38423c93aa
73,trm_523f5ee64102c,cnt_523f5c6c34adc
74,trm_4a3fd79d09d35,cnt_5206bf3813b0d
75,trm_4ff36d79c26c6,cnt_5269951211abd
76,trm_4a3fd79d0a972,cnt_4dfa90af8345d
77,trm_557b4b9ccdc4a,cnt_55399e161c884
78,trm_4a3fd79d0a20c,cnt_55399e161c884
79,trm_557b4993a0fdd,cnt_55399e161c884
80,trm_4a3fd79d0b1d5,cnt_5262cc368f077
81,trm_4a3fd79d0b014,cnt_52405bd546e33
82,trm_4a3fd79d0b392,cnt_554109af50e85
83,trm_557b482a7c62b,cnt_554109af50e85
84,trm_4a3fd79d0b13d,cnt_5298ed5f7af62
85,trm_4a3fd79d0b4b5,cnt_552459a006d45
86,trm_4a3fd79d0a666,cnt_529cfc5925318
87,trm_4a3fd79d0a4f9,cnt_4e02368e6d840
88,trm_4a3fd79d0b5a7,cnt_4e023794e822b
89,trm_4a3fd79d0ac87,cnt_52728125ee3cf
90,trm_4a3fd79d0a972,cnt_5271808f8f605
91,trm_4a3fd79d0ae3d,cnt_52696df47325c
92,trm_4a3fd79d0af71,cnt_4de6bfac7a994
93,trm_4a3fd79d0b61f,cnt_4de6bfac7a994
94,trm_5595bd2b92003,cnt_553eb56aa25df
95,trm_4a3fd79d0af71,cnt_553eb56aa25df
96,trm_557b4a7315f1b,cnt_553eb56aa25df
97,trm_4a3fd79d0b160,cnt_4df2a4d2ecac9
98,trm_4a3fd79d09eb6,cnt_4df25f35f17e3
99,trm_4a3fd79d0b05e,cnt_4df25f35f17e3
100,trm_4f4511e519b53,cnt_525d88753a6ed
101,trm_557b499fac085,cnt_502174397e768
102,trm_4a3fd79d0a8fc,cnt_5262cbbf50dc7
103,trm_4a3fd79d0a30c,cnt_4de583fcb0789
104,trm_523e0419ec219,cnt_52602c88d74b0
105,trm_52090251db8c8,cnt_5262da3a15ba0
106,trm_4a3fd79d0b083,cnt_4df9015bcfad3
107,trm_4a3fd79d0a116,cnt_4dfa46d8c1622
108,trm_4a3fd79d0a613,cnt_4dfa46d8c1622
109,trm_4a3fd79d0a914,cnt_4dffded7a9be2
110,trm_50070dce14554,cnt_50185b2433de1
111,trm_4a3fd79d0b5a7,cnt_4de56f7a17762
112,trm_4aae62e4ad209,cnt_4de56f7a17762
113,trm_4a3fd79d09c28,cnt_4ebcaad4c41d7
114,trm_4a3fd79d0af71,cnt_4ebcaad4c41d7
115,trm_557b4a7315f1b,cnt_4ebcaad4c41d7
116,trm_557b4b3a6a34d,cnt_4ebcaad4c41d7
117,trm_557b478ce1c24,cnt_4ebcaad4c41d7
118,trm_4a3fd79d09cae,cnt_4ded4b7c49083
119,trm_4a3fd79d0b5a7,cnt_4ded4b7c49083
120,trm_4a3fd79d0ac87,cnt_4e022a9861397
121,trm_4a3fd79d0aeb6,cnt_4e022a9861397
122,trm_4a3fd79d0b832,cnt_4e022a9861397
123,trm_502403240a2a2,cnt_502403657d971
124,trm_4a3fd79d0b967,cnt_5262cbfa2cbb6
125,trm_4b6525253c63f,cnt_4de6b69d1e765
126,trm_4a3fd79d0b58f,cnt_5266c222da58d
127,trm_557b4b7e68727,cnt_553a6e7daf8e6
128,trm_4a3fd79d0b1a6,cnt_4dffdeb36edc5
129,trm_4a3fd79d0abb6,cnt_4e03951a4914c
130,trm_4a3fd79d0a20c,cnt_553a694a86e65
131,trm_4a3fd79d0ac9e,cnt_4d949c9b01604
132,trm_558c74156b7ee,cnt_4d949c9b01604
133,trm_558c73f3c8c6f,cnt_4d949c9b01604
134,trm_558c73b3663a6,cnt_4d949c9b01604
135,trm_4a3fd79d0a30c,cnt_4de6ad74bd885
136,trm_4a3fd79d0b014,cnt_523df847494a2
137,trm_4a3fd79d09d9e,cnt_520900032796f
138,trm_4a3fd79d0b8e5,cnt_553ec692268ca
139,trm_4a3fd79d0b4b5,cnt_55a302526f444
140,trm_4a3fd79d0a61f,cnt_4de6c3c82d46d
141,trm_4a3fd79d0a1ae,cnt_4ded4b345f82a
142,trm_4a3fd79d0b5a7,cnt_4ded4b345f82a
143,trm_4a3fd79d09d9e,cnt_5266bcd51c5bc
144,trm_4a3fd79d0b154,cnt_524055ec1c81d
145,trm_551f0f822d95e,cnt_55a304556bac7
146,trm_551f11bb8f6a8,cnt_55a304556bac7
147,trm_4b82c75498408,cnt_4b82d26b480ea
148,trm_4a3fd79d0b967,cnt_5262cc0801239
149,trm_4a3fd79d0b5a7,cnt_5154924daead4
150,trm_523e0a4b443dc,cnt_523dfd7f816b6
151,trm_4a3fd79d0a116,cnt_5262cc64bb978
152,trm_50070dce14554,cnt_523df7075b68e
153,trm_4a3fd79d0ab88,cnt_4df133a20d8da
154,trm_4a3fd79d0b689,cnt_523df78aee64c
155,trm_52068e5bd9aa1,cnt_5298ed452d73c
156,trm_4a3fd79d0a972,cnt_500742e46e628
157,trm_4a3fd79d0b46f,cnt_4e00fd62beac3
158,trm_4a3fd79d0b5fb,cnt_4e00fd62beac3
159,trm_4a3fd79d0ad1d,cnt_5255c9f1ebfda
160,trm_4a3fd79d0af66,cnt_4de6bfdf5905a
161,trm_4a3fd79d0b61f,cnt_4de6bfdf5905a
162,trm_4a3fd79d0a6e8,cnt_524b570288099
163,trm_4a3fd79d0a7e0,cnt_4de68ca153c38
164,trm_4a3fd79d0b80f,cnt_4de68ca153c38
165,trm_4c3e0646a2408,cnt_573609e3a736d
166,trm_4a3fd79d0a67d,cnt_573609e3a736d
167,trm_4a3fd79d0b689,cnt_5024229cb9cef
168,trm_4a3fd79d09902,cnt_50071af2372d9
169,trm_4a3fd79d0b5ef,cnt_4b4a538defadc
170,trm_4a3fd79d09be2,cnt_502ade3a6b4d4
171,trm_4a3fd79d0b613,cnt_4dfa8214869b9
172,trm_4a3fd79d0a431,cnt_4dfa8214869b9
173,trm_4a3fd79d0b607,cnt_4dfa8214869b9
174,trm_4a3fd79d0b5d7,cnt_4dfa8214869b9
175,trm_4a3fd79d09ece,cnt_4de7e52cd0ad6
176,trm_4a3fd79d0a80f,cnt_4de7e52cd0ad6
177,trm_4a3fd79d0a81b,cnt_4de7e52cd0ad6
178,trm_4a3fd79d09e07,cnt_4de7e52cd0ad6
179,trm_4a3fd79d0a072,cnt_4de7e52cd0ad6
180,trm_4a3fd79d0aec1,cnt_4de7e52cd0ad6
181,trm_502ab8dd991bf,cnt_502ace1922626
182,trm_4a3fd79d0a30c,cnt_4de6ae3e231dd
183,trm_4a3fd79d0b67d,cnt_52405bf41b0f9
184,trm_557b4b3a6a34d,cnt_4ebcaa755a7e5
185,trm_557b4b9ccdc4a,cnt_4ebcaa755a7e5
186,trm_4a3fd79d0af71,cnt_4ebcaa755a7e5
187,trm_557b4a7315f1b,cnt_4ebcaa755a7e5
188,trm_4a3fd79d09c28,cnt_4ebcaa755a7e5
189,trm_557b493e4203a,cnt_4ebcaa755a7e5
190,trm_557b4993a0fdd,cnt_4ebcaa755a7e5
191,trm_557b48e337218,cnt_4ebcaa755a7e5
192,trm_55ef273a77a86,cnt_4ebcaa755a7e5
193,trm_4a3fd79d0b80f,cnt_4e02433a9f223
194,trm_4a3fd79d0ab70,cnt_4de6c945846f2
195,trm_4a3fd79d09b28,cnt_4de6c945846f2
196,trm_4b75ed06c917d,cnt_5298fa8955db0
197,trm_4a3fd79d0b5fb,cnt_4df8e29765d7b
198,trm_4a3fd79d0a700,cnt_4df8e29765d7b
199,trm_4a3fd79d0ad41,cnt_4df8e29765d7b
200,trm_4a3fd79d0aa8d,cnt_4df29e99a47ae
201,trm_557b4a7315f1b,cnt_4df29e99a47ae
202,trm_4a3fd79d0ba0d,cnt_4de90fe2177d0
203,trm_4a3fd79d0a431,cnt_4de90fe2177d0
204,trm_4a3fd79d0b92c,cnt_4de90fe2177d0
205,trm_4a3fd79d0ba6c,cnt_4de90fe2177d0
206,trm_4a3fd79d0b5a7,cnt_4de90fe2177d0
207,trm_4a3fd79d0b5a7,cnt_5106ef70e1f21
208,trm_4aae62e4ad209,cnt_5106ef70e1f21
209,trm_4a3fd79d0a02c,cnt_4de7dc695fabb
210,trm_5358ede949107,cnt_5358ef9570ace
211,trm_4a3fd79d0b1e0,cnt_50f864a19c88d
212,trm_4a3fd79d0b5a7,cnt_5020507780603
213,trm_4b75ed06c917d,cnt_5271886ab5997
214,trm_523c7c13bc55f,cnt_525c57664d7a7
215,trm_4a3fd79d0a972,cnt_526945035073c
216,trm_4b65259eeee34,cnt_4e611331826a0
217,trm_4a3fd79d0b077,cnt_4e02569dd0139
218,trm_4a3fd79d09d35,cnt_523e12859c3ce
219,trm_523c7c13bc55f,cnt_525c4cdf291ad
220,trm_55c298bbe56d5,cnt_55ef440b3f6f2
221,trm_4a3fd79d0ba01,cnt_4de6a2be90526
222,trm_4a3fd79d0afab,cnt_4de6a2be90526
223,trm_50070dce14554,cnt_50185135a51fc
224,trm_4a3fd79d0a9a1,cnt_4df7bfc72c237
225,trm_4a3fd79d0b1a6,cnt_4df7bfc72c237
226,trm_4b75ed06c917d,cnt_4df7bfc72c237
227,trm_4a3fd79d0a72e,cnt_4df7bfc72c237
228,trm_4a3fd79d0b077,cnt_4e03b6ae397cc
229,trm_4a3fd79d0b80f,cnt_4e03b6ae397cc
230,trm_4a3fd79d0b4a9,cnt_553a73a084bdd
231,trm_4a3fd79d0af71,cnt_553a73a084bdd
232,trm_557b4a7315f1b,cnt_553a73a084bdd
233,trm_4c3e05903e4bb,cnt_553a73a084bdd
234,trm_559f0986182cc,cnt_553a73a084bdd
235,trm_52068e5bd9aa1,cnt_5298e898828cf
236,trm_4a3fd79d0b4cd,cnt_50f853460010d
237,trm_4b82c75498408,cnt_4b7c03351fc78
238,trm_4a3fd79d0a81b,cnt_4b7c03351fc78
239,trm_4a3fd79d0b507,cnt_4b7c03351fc78
240,trm_4a3fd79d0b457,cnt_50f9992176d5c
241,trm_4a3fd79d0addc,cnt_4e08fefbf0382
242,trm_4a3fd79d09be2,cnt_502ade6246b25
243,trm_4a3fd79d0b13d,cnt_5208ffc82d64b
244,trm_525d8e198e0da,cnt_525d879a4aca1
245,trm_4a3fd79d0a972,cnt_4e0399bbae0ed
246,trm_4a3fd79d09f87,cnt_50049a0f821aa
247,trm_4a3fd79d0af66,cnt_4e08edac14ee7
248,trm_557b4b652cbec,cnt_553149868c670
249,trm_557b4b3a6a34d,cnt_553149868c670
250,trm_557b4891e9265,cnt_553149868c670
251,trm_4a3fd79d0af71,cnt_553149868c670
252,trm_557b4a7315f1b,cnt_553149868c670
253,trm_4a3fd79d0a7f8,cnt_4de6d2747197f
254,trm_523c7ba79c2f1,cnt_52583beae7af6
255,trm_4a3fd79d0a775,cnt_4de6d42855dcd
256,trm_4a3fd79d0b06b,cnt_4de6d42855dcd
257,trm_559f0a129c136,cnt_553fc4f4362c1
258,trm_523ca883711cc,cnt_524b4afe10a65
259,trm_4a3fd79d0b08f,cnt_4e08fe051b67b
260,trm_4a3fd79d0b1e0,cnt_50f9db0e69e86
261,trm_4a3fd79d0b247,cnt_525d84fa886ed
262,trm_4a3fd79d09d9e,cnt_5298ed32ea678
263,trm_4b7c270940f9d,cnt_5016e5b8068a9
264,trm_4a3fd79d0b1e0,cnt_500712871f6d5
265,trm_523c7c13bc55f,cnt_525d85fbf2cb1
266,trm_557b47abe9a34,cnt_5175b81f53bf3
267,trm_4a3fd79d0b5ef,cnt_4df8e2af408ed
268,trm_4a3fd79d0a700,cnt_4df8e2af408ed
269,trm_4a3fd79d0ad41,cnt_4df8e2af408ed
270,trm_4a3fd79d0b077,cnt_4e0125dc5bc09
271,trm_4a3fd79d0b80f,cnt_4be6ec4cb064c
272,trm_4a3fd79d0ba01,cnt_4be6ec4cb064c
273,trm_4a3fd79d0b5ef,cnt_52583bbbcfd9c
274,trm_4a3fd79d0b154,cnt_5208ff7d82bce
275,trm_4a3fd79d0b1e0,cnt_4dfb9b0719363
276,trm_4a3fd79d0b077,cnt_4de6b87a44743
277,trm_4a3fd79d0b083,cnt_4de6b87a44743
278,trm_4a3fd79d0b87a,cnt_4de6b87a44743
279,trm_4a3fd79d0ac9e,cnt_4d949c8f3101c
280,trm_558c73b3663a6,cnt_4d949c8f3101c
281,trm_4a3fd79d0a7e0,cnt_4d949c8f3101c
282,trm_557b4b9ccdc4a,cnt_4d949c8f3101c
283,trm_5159c8a5d3d13,cnt_524b4ad9275ba
284,trm_4a3fd79d0a038,cnt_5021a042336c1
285,trm_4a3fd79d0b392,cnt_554109c5544c8
286,trm_4a3fd79d0af71,cnt_55315226076d3
287,trm_4a3fd79d0b5a7,cnt_55315226076d3
288,trm_557b4b9ccdc4a,cnt_55315226076d3
289,trm_4a3fd79d0995e,cnt_50f377a5d345e
290,trm_50070dce14554,cnt_50070f2604b71
291,trm_4a3fd79d0b4b5,cnt_55a301cd38de4
292,trm_4a3fd79d09ab2,cnt_55a301cd38de4
293,trm_4a3fd79d0b457,cnt_4e012fc0a6d05
294,trm_4a3fd79d0afa0,cnt_4e012fc0a6d05
295,trm_4a3fd79d0a769,cnt_55a3075967471
296,trm_4a3fd79d0b5a7,cnt_5106ef8038cf0
297,trm_4a3fd79d0ba3c,cnt_5106ef8038cf0
298,trm_4aae62e4ad209,cnt_5106ef8038cf0
299,trm_557b49ad14adf,cnt_5358f019cdf06
300,trm_557b499fac085,cnt_5358f019cdf06
301,trm_5024002a85b1f,cnt_5032be8b13109
302,trm_4a3fd79d0a775,cnt_5021b4664cfbb
303,trm_4a3fd79d0a78d,cnt_5266cc7eb942a
304,trm_558c7b5228ed4,cnt_553e86042df77
305,trm_558c7b707f606,cnt_553e86042df77
306,trm_4a3fd79d0af71,cnt_553e86042df77
307,trm_4a3fd79d0b64e,cnt_50b40c3aa95af
308,trm_4a3fd79d0b6ad,cnt_50f37f45b00e2
309,trm_4a3fd79d0b4b5,cnt_510707278e097
310,trm_529d0d62290de,cnt_529d0a711d43d
311,trm_4a3fd79d0a1f4,cnt_50eb42b349127
312,trm_4a3fd79d0aaa4,cnt_4df66400663ec
313,trm_4a3fd79d0b4d8,cnt_4df66400663ec
314,trm_4a3fd79d09cae,cnt_4e08fb9717d43
315,trm_4a3fd79d0b0a6,cnt_4e08fb9717d43
316,trm_4a3fd79d09d64,cnt_4e08fb9717d43
317,trm_4a3fd79d0b5a7,cnt_4e08fb9717d43
318,trm_4a3fd79d0af71,cnt_4ebca22149619
319,trm_557b4b3a6a34d,cnt_4ebca22149619
320,trm_557b4a7315f1b,cnt_4ebca22149619
321,trm_557b49851e991,cnt_4ebca22149619
322,trm_557b4aa070c10,cnt_4ebca22149619
323,trm_557b491318742,cnt_4ebca22149619
324,trm_557b474e2b578,cnt_4ebca22149619
325,trm_557b4b3a6a34d,cnt_553147b362347
326,trm_4a3fd79d0b1b2,cnt_553147b362347
327,trm_557b48aeb7d58,cnt_553147b362347
328,trm_4a3fd79d0af71,cnt_553147b362347
329,trm_557b4a7315f1b,cnt_553147b362347
330,trm_557b471bc6cd8,cnt_553147b362347
331,trm_4a3fd79d0b802,cnt_500edcfd883ea
332,trm_4a3fd79d0b340,cnt_4dfbe08944a96
333,trm_4a3fd79d0b756,cnt_4dfbe08944a96
334,trm_4a3fd79d0a7f8,cnt_4dfbe08944a96
335,trm_4a3fd79d0a972,cnt_5007422433506
336,trm_50f3c0af04e37,cnt_50f3c03878ce3
337,trm_4a3fd79d0b44c,cnt_4e0243468cb6f
338,trm_557b4b47d994a,cnt_55ef1305643e9
339,trm_4a3fd79d0af71,cnt_55ef1305643e9
340,trm_557b4a7315f1b,cnt_55ef1305643e9
341,trm_557b4817db34d,cnt_55ef1305643e9
342,trm_557b4a913f8cc,cnt_55ef1305643e9
343,trm_55ef153d47bc0,cnt_55ef1305643e9
344,trm_557b48f22ba99,cnt_55ef1305643e9
345,trm_4a3fd79d09f64,cnt_50eb0ec7d3a0e
346,trm_4a3fd79d0b363,cnt_50f37b522549b
347,trm_4a3fd79d0a1f4,cnt_50f999352af03
348,trm_52583e8a46ded,cnt_52583c058bea0
349,trm_4a3fd79d0a972,cnt_4df6974d8c674
350,trm_4a3fd79d0a72e,cnt_4df6974d8c674
351,trm_4a3fd79d0b077,cnt_4e011afe30540
352,trm_4a3fd79d098c9,cnt_553ec6a0a72d3
353,trm_4a3fd79d0b5ef,cnt_4df6818a8bcec
354,trm_4a3fd79d0b5a7,cnt_4df6818a8bcec
355,trm_559f0a5b4cd36,cnt_553fc50126261
356,trm_56798c5f25b0c,cnt_553fc50126261
357,trm_4a3fd79d09e1e,cnt_4e038ba42d3a7
358,trm_4a3fd79d09953,cnt_4e038ba42d3a7
359,trm_5022ef7599294,cnt_5299143fed521
360,trm_52405de6b7a63,cnt_52405bff90283
361,trm_4a3fd79d09c5b,cnt_5541098145b5a
362,trm_4a3fd79d0b392,cnt_5541098145b5a
363,trm_4a3fd79d0b507,cnt_4df928c85f523
364,trm_4a3fd79d0b89e,cnt_4df928c85f523
365,trm_4a3fd79d0b340,cnt_4de6d0d5790a3
366,trm_4a3fd79d0a7f8,cnt_4de6d0d5790a3
367,trm_4a3fd79d0b892,cnt_4de6d0d5790a3
368,trm_4a3fd79d0b56b,cnt_4de6d0d5790a3
369,trm_4a3fd79d0a64e,cnt_4df93a3c9bd2c
370,trm_4a3fd79d0b64e,cnt_4df10d2fb170f
371,trm_4a3fd79d0a04f,cnt_55a306f9b7178
372,trm_4a3fd79d0b18f,cnt_4dfa94d49dc90
373,trm_4a3fd79d09e87,cnt_4dfa94d49dc90
374,trm_4a3fd79d0b49e,cnt_4dfa94d49dc90
375,trm_4a3fd79d0b1d5,cnt_4dfa94d49dc90
376,trm_52068e5bd9aa1,cnt_525d87b78dee5
377,trm_4a3fd79d0a9b9,cnt_5798d115b13e3
378,trm_557b4a7315f1b,cnt_5798d115b13e3
379,trm_557b476527a27,cnt_4ebca9e1d3a16
380,trm_55b6b9d7c9435,cnt_4ebca9e1d3a16
381,trm_55b6b9a666604,cnt_4ebca9e1d3a16
382,trm_4a3fd79d0b9dd,cnt_502a9a529d5d1
383,trm_557b482a7c62b,cnt_5531474e117df
384,trm_4a3fd79d0af71,cnt_5531474e117df
385,trm_557b4a7315f1b,cnt_5531474e117df
386,trm_557b4891e9265,cnt_5531474e117df
387,trm_4a3fd79d0b457,cnt_52167f717dac6
388,trm_555cfb890d721,cnt_553149bc9f9d1
389,trm_500d8bcf5f29a,cnt_50f381d2aab5a
390,trm_4a3fd79d0b5fb,cnt_50f8444dd50db
391,trm_4a3fd79d09aa7,cnt_4e0130c979bf1
392,trm_4a3fd79d0b65a,cnt_4dfbd05eb07d6
393,trm_4a3fd79d0af66,cnt_4b4a2f46e2faa
394,trm_4a3fd79d0a613,cnt_4b4a2f46e2faa
395,trm_523e0419ec219,cnt_524b4baf1f04d
396,trm_523e024c14df9,cnt_523df7e0f0100
397,trm_4a3fd79d0b043,cnt_4e038ad0147d7
398,trm_4a3fd79d0a20c,cnt_553a6f9fc8748
399,trm_4a3fd79d0a891,cnt_5262cba80a837
400,trm_502abeab4e1d8,cnt_502acf9fbd81c
401,trm_4a3fd79d09b04,cnt_4df1585e55f60
402,trm_4a3fd79d0a116,cnt_4df1585e55f60
403,trm_4a3fd79d0a78d,cnt_52717bb0bb848
404,trm_4a3fd79d0ac9e,cnt_5106ef685b53d
405,trm_4a3fd79d0b5a7,cnt_5106ef685b53d
406,trm_4a3fd79d0aaa4,cnt_4df663cf4ea8a
407,trm_4a3fd79d0b4d8,cnt_4df663cf4ea8a
408,trm_4a3fd79d0b802,cnt_5262d714c6169
409,trm_4a3fd79d0b1d5,cnt_500ddba625847
410,trm_4a3fd79d0a972,cnt_50f72efe2012e
411,trm_502bdc6bdaa2b,cnt_502bef633e582
412,trm_4a3fd79d0b4d8,cnt_4e00fd3de3b0a
413,trm_55b6b92c1fd76,cnt_55315278ea6cc
414,trm_4a3fd79d09ef0,cnt_5255cb7b65a68
415,trm_4a3fd79d0a54b,cnt_50185b18ad99e
416,trm_4a3fd79d0b4cd,cnt_4e0104d85693b
417,trm_4a3fd79d0b043,cnt_4e0104d85693b
418,trm_4a3fd79d09ab2,cnt_4ffdbab8b5539
419,trm_4a3fd79d0addc,cnt_4df2917218780
420,trm_4a3fd79d0a972,cnt_4df2917218780
421,trm_4a3fd79d0b0bd,cnt_4df2917218780
422,trm_4a3fd79d0b160,cnt_525c578b8e221
423,trm_4a3fd79d0b5ef,cnt_52167fa84c173
424,trm_4a3fd79d0b077,cnt_5255cbd7b880a
425,trm_4a3fd79d0a398,cnt_4de67800c904a
426,trm_4a3fd79d09a10,cnt_4de93a6779688
427,trm_4a3fd79d09713,cnt_4de93a6779688
428,trm_4aae62e4ad209,cnt_4de93a6779688
429,trm_4a3fd79d0a769,cnt_52713ea34e4a3
430,trm_4a3fd79d0af71,cnt_4decfedb91973
431,trm_557b4a7315f1b,cnt_4decfedb91973
432,trm_557b4abe521af,cnt_4decfedb91973
433,trm_557b4b3a6a34d,cnt_4decfedb91973
434,trm_4aae62e4ad209,cnt_525c4d023f957
435,trm_523e053844495,cnt_524b4b83ab297
436,trm_4a3fd79d0b154,cnt_527187cbb684e
437,trm_4a3fd79d0af71,cnt_4ebcaa463d20e
438,trm_4a3fd79d0b5a7,cnt_4ebcaa463d20e
439,trm_4c3e05903e4bb,cnt_4ebcaa463d20e
440,trm_557b4b3a6a34d,cnt_4ebcaa463d20e
441,trm_557b4b9ccdc4a,cnt_4ebcaa463d20e
442,trm_557b4a7315f1b,cnt_4ebcaa463d20e
443,trm_4a3fd79d09c28,cnt_4ebcaa463d20e
444,trm_557b493e4203a,cnt_4ebcaa463d20e
445,trm_557b4993a0fdd,cnt_4ebcaa463d20e
446,trm_557b48e337218,cnt_4ebcaa463d20e
447,trm_557b476527a27,cnt_4ebcaa463d20e
448,trm_55b6b96e77df6,cnt_55315270d1e14
449,trm_4aae62e4ad209,cnt_4de57f6d43cfd
450,trm_4a3fd79d0b083,cnt_5798d2b73fb3b
